         10814361 function calls (10697337 primitive calls) in 46.022 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    71054    0.116    0.000    0.469    0.000 {built-in method builtins.any}
    42372    0.423    0.000    0.460    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:566(maybe_promote)
    17096    0.208    0.000    0.457    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/algorithms.py:269(_check_object_for_strings)
557785/457262    0.376    0.000    0.452    0.000 {built-in method builtins.len}
    22794    0.044    0.000    0.446    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:192(fill_value)
    29380    0.079    0.000    0.443    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1244(is_bool_dtype)
     2183    0.039    0.000    0.425    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:469(__new__)
      976    0.113    0.000    0.415    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/managers.py:768(_slice_take_blocks_ax0)
    34110    0.175    0.000    0.408    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/algorithms.py:184(_reconstruct_data)
      258    0.010    0.000    0.407    0.002 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1823(_consolidate_inplace)
    66305    0.154    0.000    0.404    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:551(is_dtype_equal)
        8    0.000    0.000    0.403    0.050 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/string.py:35(_get_strcols)
        8    0.000    0.000    0.399    0.050 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:611(get_strcols)
