         4572717 function calls (4555856 primitive calls) in 31.548 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.195    0.018 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/train_model.py:44(__init__)
       11    0.005    0.000    0.195    0.018 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/train_model.py:21(__init__)
    32250    0.025    0.000    0.194    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/core/_methods.py:61(_all)
      276    0.013    0.000    0.193    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/apply.py:1061(apply_standard)
     4954    0.047    0.000    0.191    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
  675/343    0.013    0.000    0.183    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/traceback.py:468(__init__)
       56    0.000    0.000    0.182    0.003 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:3832(take)
       66    0.002    0.000    0.179    0.003 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_base.py:410(decision_function)
        1    0.001    0.001    0.179    0.179 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/merge_demodf.py:3(merge_demographic_data)
       49    0.000    0.000    0.174    0.004 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:5110(drop)
      343    0.007    0.000    0.173    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/traceback.py:200(extract_stack)
      110    0.002    0.000    0.172    0.002 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/metrics/_classification.py:57(_check_targets)
    64015    0.040    0.000    0.172    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/lib/function_base.py:871(copy)
      418    0.015    0.000    0.170    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/multiclass.py:223(type_of_target)
       66    0.000    0.000    0.169    0.003 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/model_selection/_split.py:2673(<genexpr>)
       88    0.000    0.000    0.169    0.002 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/__init__.py:284(_safe_indexing)
       88    0.000    0.000    0.165    0.002 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/__init__.py:187(_pandas_indexing)
     1850    0.013    0.000    0.162    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/linecache.py:53(checkcache)
      546    0.007    0.000    0.161    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:3716(get_indexer)
      263    0.003    0.000    0.159    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:1251(format_array)
       12    0.000    0.000    0.156    0.013 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/reshape/merge.py:131(merge)
      252    0.020    0.000    0.156    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/managers.py:768(_slice_take_blocks_ax0)
      180    0.001    0.000    0.151    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/series.py:4988(drop)
     1852    0.148    0.000    0.148    0.000 {built-in method posix.stat}
6053/4393    0.028    0.000    0.139    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/traceback.py:591(format)
      263    0.001    0.000    0.136    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:1362(get_result)
       11    0.000    0.000    0.136    0.012 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/metrics/_classification.py:1973(precision_score)
       22    0.001    0.000    0.134    0.006 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/metrics/_classification.py:395(multilabel_confusion_matrix)
       11    0.000    0.000    0.134    0.012 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_logistic.py:1348(predict_proba)
       11    0.001    0.000    0.132    0.012 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_base.py:459(_predict_proba_lr)
     1018    0.078    0.000    0.125    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/traceback.py:388(format)
      297    0.005    0.000    0.122    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:3713(__getitem__)
       11    0.000    0.000    0.114    0.010 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/preprocessing/_data.py:814(fit)
