global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 69 3, 44 2, 37 4",69,86,56,39,0.688,0.62,0.6056338028169014,0.6441947565543071
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 30 2, 23 4",65,90,43,52,0.6338028169014085,0.62,0.6766917293233082,0.6545454545454545
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 16 2, 10 4",61,98,28,63,0.6086956521739131,0.636,0.7777777777777778,0.6829268292682927
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,73,91,53,33,0.7338709677419355,0.656,0.6319444444444444,0.6791044776119403
N/A,42,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 150 2, 102 4",29,144,36,41,0.7783783783783784,0.692,0.8,0.789041095890411
N/A,42,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 222 3, 133 2, 95 4",33,99,101,17,0.853448275862069,0.528,0.495,0.6265822784810127
N/A,42,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 199 3, 117 2, 84 4",34,140,50,26,0.8433734939759037,0.696,0.7368421052631579,0.7865168539325843
N/A,42,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 174 3, 102 2, 74 4",33,119,75,23,0.8380281690140845,0.608,0.6134020618556701,0.7083333333333333
N/A,42,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 148 3, 86 2, 66 4",33,122,67,28,0.8133333333333334,0.62,0.6455026455026455,0.71976401179941
N/A,42,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 122 3, 72 2, 56 4",31,117,78,24,0.8297872340425532,0.592,0.6,0.6964285714285714
N/A,42,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 96 3, 59 2, 45 4",32,135,51,32,0.8083832335329342,0.668,0.7258064516129032,0.7648725212464589
N/A,42,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 69 3, 44 2, 37 4",41,99,96,14,0.8761061946902655,0.56,0.5076923076923077,0.6428571428571428
N/A,42,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 30 2, 23 4",39,109,85,17,0.8650793650793651,0.592,0.5618556701030928,0.68125
N/A,42,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 16 2, 10 4",33,104,94,19,0.8455284552845529,0.548,0.5252525252525253,0.64797507788162
N/A,42,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,37,131,50,32,0.803680981595092,0.672,0.7237569060773481,0.7616279069767442
N/A,42,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 150 2, 102 4",29,144,36,41,0.7783783783783784,0.692,0.8,0.789041095890411
